Alue;nro;nykyiset_kunnat;kuva_1_yleiskuva_sankarihautausmaasta;kuva_1_kuvaajan_nimi;kuva_2_yksittäinen_hauta_risteineen_muistolaattoineen;kuva_2_kuvaajan_nimi;kuva_3_muistomerkki;kuva_3_kuvaajan_nimi;kuva_4_yleiskuva;kuva_4_kuvaajan_nimi;kuva_5_muu_muistomerkki;kuva_5_kuvaajan_nimi;kuvaukset_toteuttanut_kameraseura;hautausmaan_nimi;arkkitehti;hautoja;perustettu;paljastettu;nimi;kuvanveistäjä;pituus_n;leveys_e;tarkka_katuosoite
9;1;Akaa / Kylmäkoski;001_akaa_kylmakoski_01.jpg;Seija Hakala;001_akaa_kylmakoski_02.jpg;Seija Hakala;001_akaa_kylmakoski_03.jpg;Seija Hakala;001_akaa_kylmakoski_04.jpg;Seija Hakala;001_akaa_kylmakoski_05.jpg;Seija Hakala;Kameraseura 74 Valkeakoski ;Akaa, Kylmäkosken sankarihautausmaa;ei_ole;115;ei_ole;5/17/1953;ei_ole;Aukusti Veuro;61.09.18;23.41.11;Lehtitie 3,  37910 Kylmäkoski
9;2;Akaa / Toijala;002_akaa_toijala_01.jpg;Markku Teerikorpi;002_akaa_toijala_02.jpg;Markku Teerikorpi;002_akaa_toijala_03.jpg;Markku Teerikorpi;002_akaa_toijala_04.jpg;Markku Teerikorpi;;;Kameraseura 74 Valkeakoski ;Akaa, Toijalan sankarihautausmaa;ei_ole;138;ei_ole;1947.1954;sankarihautapatsas ja muistopatsas;Mikael Nordenswan ;61.9.53;23.51.41;Jussintie 6 , 37800 Akaa
9;3;Akaa / Viiala;003_akaa_viiala_01.jpg;Markku Teerikorpi;003_akaa_viiala_02.jpg;Markku Teerikorpi;003_akaa_viiala_03.jpg;Markku Teerikorpi;003_akaa_viiala_04.jpg;Markku Teerikorpi;;;Kameraseura 74 Valkeakoski ;Akaa, Viialan sankarihautausmaa;Oiva Wirkkala;101;1948;6/20/1948;ei_ole;Oiva Wirkala;61.12.55;23.45.33;Nordintie, 37830 Viiala
7;9;Asikkala;009_asikkala_01.jpg;Heikki Koivisto;009_asikkala_02.jpg;Heikki Koivisto;009_asikkala_03.jpg;Heikki Koivisto;009_asikkala_04.jpg;Heikki Koivisto;009_asikkala_05.jpg;Heikki Koivisto;Fotoklubi Lahti;Asikkalan hautausmaa;Ilmari Wirkkala ja Kaarlo Könönen;238;ei_ole;ei_ole;ei_ole;Esko Toiviainen ;61.2176;25.489579;Kappelintie 18, 17320 Asikkala
1;10;Askola;010_askola_01.jpg;Jyri Järvelä;010_askola_02.jpg;Jyri Järvelä;010_askola_03.jpg;Jyri Järvelä;ei_ole;;ei_ole;;Loviisan kameraseura ry;Askolan sankarihautausmaa;ei_ole;87;ei_ole;1949;ei_ole;Jaakko Paatela;60.31.50;25.35.51;Askolantie 21, 07500 Askola
20;11;Aura;011_aura_01.jpg;;011_aura_02.jpg;;011_aura_03.jpg;;011_aura_04.jpg;;ei_ole;;Aboca;Auran hautausmaa;V. Nortomaa;39;1940;6.12.1956;Äiti ja lapsi;Jussi Vikainen;60.60894;22.56245;Turuntie 437, 21370 Aura
22;17;Eura;017_eura_01.jpg;Mikko Vapanen;017_eura_02.jpg;Mikko Vapanen;017_eura_03.jpg;Mikko Vapanen;017_eura_04.jpg;Mikko Vapanen;017_eura_05.jpg;ei_ole;Rauman kameraseura ry;Euran kirkonviereinen hautausmaa;Ilmari Virkkala;101;1939;1941;ei_ole;Ilmari Virkkala;"61°08'01.5""N ";"22°07'50.7""E";Sorkkistentie 5, 27510 Eura
22;18;Eura / Kiukainen;018_eura_kiukainen_01.jpg;Tommi Hakkarainen;018_eura_kiukainen_02.jpg;Tommi Hakkarainen;018_eura_kiukainen_03.jpg;Tommi Hakkarainen;018_eura_kiukainen_04.jpg;Tommi Hakkarainen;018_eura_kiukainen_05.jpg;ei_ole;Rauman kameraseura ry;Kiukaisten kirkonviereinen hautausmaa;ei_ole;112;ei_ole;8/14/1949;ei_ole;Aimo Tukiainen;"61°12'58.1""N ";"22°05'06.5""E";Kirkkotie 2, 27400 Kiukainen
22;19;Eura, Hinnerjoki;019_eura_hinnerjoki_01.jpg;Mikko Vapanen;019_eura_hinnerjoki_02.jpg;Mikko Vapanen;019_eura_hinnerjoki_03.jpg;Mikko Vapanen;019_eura_hinnerjoki_04.jpg;Mikko Vapanen;019_eura_hinnerjoki_05.jpg;ei_ole;Rauman kameraseura ry;Hinnerjoen kirkonviereinen hautausmaa;Kirsti Liimatainen, Taisto Lehtonen ja Uuno Aaltonen;27;1940;ei_ole;ei_ole;Kirsti Liimatainen, Taisto Lehtonen;"60°59'35.4""N";" 21°59'24.8""E";Kirkkotie 36, 27600 Hinnerjoki
22;20;Eura, Honkilahti;020_eura_honkilahti_01.jpg;Markku Väänänen;020_eura_honkilahti_02.jpg;Markku Väänänen;020_eura_honkilahti_03.jpg;Markku Väänänen;020_eura_honkilahti_04.jpg;Markku Väänänen;020_eura_honkilahti_05.jpg;ei_ole;Rauman kameraseura ry;Honkilahden hautausmaa;ei_ole;40;1940;ei_ole;ei_ole;Olavi Manninen;"60°58'02.4""N ";"22°06'53.9""E";Kirkonahteentie 7, 27640 Honkilahti
22;21;Eurajoki;021_eurajoki_01.jpg;Altti A. Salo;021_eurajoki_02.jpg;Altti A. Salo;021_eurajoki_03.jpg;Altti A. Salo;021_eurajoki_04.jpg;Altti A. Salo;021_eurajoki_05.jpg;Altti A. Salo;Rauman kameraseura ry;Eurajoen hautausmaa;Jaakko Paatela;130;1939;1951;Isä hyvästelee poikansa;Jyrki Sailo;"61°12'12.2""N ";"21°43'54.1""E";Kirkkotie 8, 27100 Eurajoki
31;28;Grankulla/Kauniainen;028_grankulla_kauniainen_01.jpg;Anders Blomqvist;ei_ole;Anders Blomqvist;028_grankulla_kauniainen_03.jpg;Anders Blomqvist;028_grankulla_kauniainen_04.jpg;Anders Blomqvist;ei_ole;;Amatörfotografklubben i Helsingfors rf;Kauniaisten hautausmaa;ei_ole;16;1940;1942;Pro Patria 1939 - 1945;Yrjö Liipola;"60°13'01.1""";"24°41'59.1""";Bembölentie 34, 02700 Kauniainen / Bembölevägen 34, 02700 Grankulla
2;43;Hartola;043_hartola_01.jpg;Jukka Kytömäki ;043_hartola_02.jpg;Jukka Kytömäki ;043_hartola_03.jpg;Jukka Kytömäki ;043_hartola_04.jpg;Jukka Kytömäki ;043_hartola_05.jpg;Jukka Kytömäki ;Mäntyharjun kameraseura ry;;;219;;1955;;Heikki Konttinen ;"61°34'42.3""";26°01'13.3;Keskustie 55,    19600 Hartola
10;51;Heinävesi, Kirkonmäki;051_heinavesi_kirkonmaki_01.jpg;Timo Heinonen;051_heinavesi_kirkonmaki_02.jpg;Timo Heinonen;051_heinavesi_kirkonmaki_03.jpg;Timo Heinonen;051_heinavesi_kirkonmaki_04.jpg;Timo Heinonen;ei_ole;Timo Heinonen;Varkauden Kameraseura ry;Kirkonmäen sankarihautausmaa;ei_ole;163;ei_ole;1965;ei_ole;Veikko Jalava;69.23.479;58.40.06;Kirkkotie 16 Heinävesi
10;54;Heinävesi, Petäjäharju;ei_ole;;ei_ole;;054_heinavesi_petajaharju_03.jpg;Timo Heinonen;ei_ole;ei_ole;ei_ole;;Varkauden Kameraseura ry;Petäjäharjun hautausmaa;ei_ole;ei_ole;ei_ole;ei_ole;Kirkonmäen hautausmaalla;ei_ole;69.22.720 ;58.28.90;Varkaudentie 13 - 16, 79700 Heinävesi
3;61;Helsinki, Lauttasaari;061_helsinki_lauttasaari_01.jpg;Lassi Ritamäki;061_helsinki_lauttasaari_02.jpg;Lassi Ritamäki;061_helsinki_lauttasaari_03.jpg;Lassi Ritamäki;061_helsinki_lauttasaari_04.jpg;Lassi Ritamäki;061_helsinki_lauttasaari_05.jpg;Lassi Ritamäki;Kara-Kamerat ry;Lauttasaaren sankarihautausmaa;;19;;1973;Katkaistu elämä;Aimo Tukiainen;60.09.31;24.52.21;Myllykallionrinne 1, 00200 Helsinki 
3;67;Helsinki, Pitäjänmäki;067_helsinki_pitajanmaki_01.jpg;Tero Tuoriniemi;067_helsinki_pitajanmaki_02.jpg;Tero Tuoriniemi;067_helsinki_pitajanmaki_03.jpg;Tero Tuoriniemi;067_helsinki_pitajanmaki_04.jpg;Tero Tuoriniemi;ei_ole;;Tapiolan kamerakerho ry;Pitäjänmäen sankarihautausmaa;ei_ole;20;1940;1968;ei_ole;Viljo Savikurki;60.13.31;24.50.25;Sotarovastintie 7, 00370 Espoo
2;68;Hirvensalmi;068_hirvensalmi_01.jpg;Heikki Hermunen;068_hirvensalmi_02.jpg;Heikki Hermunen;068_hirvensalmi_03.jpg;Heikki Hermunen;068_hirvensalmi_04.jpg;Heikki Hermunen;ei_ole;;Mikkelin kameraseura ry;Hirvensalmen uusi hautausmaa;ei_ole;190;ei_ole;11/29/1959;ei_ole;Viljo Savikurki;61.38.25;26.46.50;Kirkkotie, 52550 Hirvensalmi
7;69;Hollola;069_hollola_01.jpg;Heikki Koivisto;069_hollola_02.jpg;Heikki Koivisto;069_hollola_03.jpg;Heikki Koivisto;069_hollola_04.jpg;Heikki Koivisto;069_hollola_05.jpg;Heikki Koivisto;Fotoklubi Lahti;Hollolan hautausmaa;Rafal Saartio ja Carolus Lindberg;222;ei_ole;1941;ei_ole;Gunnar Finne;61.052154;25.430684;Parinpellontie 9, 16710 Hollola KK
3;74;Humppila;074_humppila_01.jpg;Erkki Tuominen;074_humppila_02.jpg;Erkki Tuominen;074_humppila_03.jpg;Erkki Tuominen;ei_ole;;ei_ole;;Someron kamerakerho ry;Humppilan seurakunnan sankarihautausmaa;ei_ole;142;1939;1951;Kuoleva sotilas;Frans Pehrman;;;Koivistontie 15 31640 Humppila
24;75;Hyrynsalmi;075_hyrynsalmi_01.jpg;Väinö Juntunen;075_hyrynsalmi_02.jpg;Väinö Juntunen;075_hyrynsalmi_03.jpg;Väinö Juntunen;075_hyrynsalmi_04.jpg;Väinö Juntunen;ei_ole;;Kajaanin kamerakerho;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;64.40.51.5;28.30.31.5;Katajarannantie 2 89400 HYRYNSALMI
6;92;Iisalmi, Sankarniemi;092_iisalmi_sankarniemi_01.jpg;Jari Intonen;092_iisalmi_sankarniemi_02.jpg;Jari Intonen;092_iisalmi_sankarniemi_03.jpg;Jari Intonen;092_iisalmi_sankarniemi_04.jpg;Jari Intonen;092_iisalmi_sankarniemi_05.jpg;Jari Intonen;Iisalmen Kameraseura ry;Sankariniemen hautausmaa;Emil Halonen;77;1918;1996;Muistokivi;Hannu Puurunen;63.33.30;27.12.15;Sankarinkatu 18, 74120 Iisalmi
6;93;Iisalmi, Vanhankirkon hautausmaa;093_iisalmi_vanhankirkon_hautausmaa_01.jpg;Jari Intonen;093_iisalmi_vanhankirkon_hautausmaa_02.jpg;Jari Intonen;093_iisalmi_vanhankirkon_hautausmaa_03.jpg;Jari Intonen;093_iisalmi_vanhankirkon_hautausmaa_04.jpg;Jari Intonen;ei_ole;;Iisalmen Kameraseura ry;Vanhan hautausmaan sankarihaudat;Rafael Blomstedtin;238;1948;1948;Kiviristi;Toteuttajana Kaatuneitten muistotoimikunta, jota johti vt. kirkkoherra Eero Niininen;63.34.44;27.10.23;Kirkkotie 10, 74120 Iisalmi
1;94;Iitti;094_iitti_01.jpg;Jyri Kaukiainen;094_iitti_02.jpg;Jyri Kaukiainen;094_iitti_03.jpg;Jyri Kaukiainen;094_iitti_04.jpg;Jyri Kaukiainen;094_iitti_05.jpg;Eija Leppänen;Kouvolan kameraseura ry;Vanha hautausmaa;ei_ole;255;ei_ole;1950;Sankariristi;Arvo Muroma;60.56.14;26.24.08;Iitintie 846, 47520 Iitti kk
1;95;Iitti, Vuolenkoski;095_iitti_vuolenkoski_01.jpg;Jyri Kaukiainen;095_iitti_vuolenkoski_02.jpg;Eija Leppänen;095_iitti_vuolenkoski_03.jpg;Eija Leppänen;095_iitti_vuolenkoski_04.jpg;Eija Leppänen;ei_ole;ei_ole;Kouvolan kameraseura ry;Vuolenkosken hautausmaa;ei_ole;41;ei_ole;1950;Sinun edessäsi isänmaa;Arvo Muroma;;;Taarastintie 179, 19160 Huutotöyry
18;97;Ilmajoki;097_ilmajoki_01.jpg;Petri Naukkarinen;097_ilmajoki_02.jpg;Petri Naukkarinen;097_ilmajoki_03.jpg;Petri Naukkarinen;097_ilmajoki_04.jpg;Petri Naukkarinen;097_ilmajoki_05.jpg;Petri Naukkarinen;Seinäjoen Kamerakerho;;;;;;;;62.727456;22.563381;Kirkkotie 18, 60800 Ilmajoki
3;105;Inkoo;105_inkoo_01.jpg;Kari Huhtilainen;105_inkoo_02.jpg;Kari Huhtilainen;105_inkoo_03.jpg;Kari Huhtilainen;105_inkoo_04.jpg;Kari Huhtilainen;ei_ole;ei_ole;Vihdin kameraseura ry;Inkoon hautausmaa;Rafael Blomstedt;77;1918;1949;ei_ole;Arne Rancken;"60°02'43""";"24°00'11""";Ola Westmanin puistotie 12, 10210 Inkoo
3;106;Inkoo, Degerby;106_inkoo_degerby_01.jpg;Markku Kedrin;106_inkoo_degerby_02.jpg;Markku Kedrin;106_inkoo_degerby_03.jpg;Markku Kedrin;106_inkoo_degerby_04.jpg;Markku Kedrin;ei_ole;ei_ole;Vihdin kameraseura ry;Degerbyn hautausmaa;ei_ole;30;1940;1990;ei_ole;ei_ole;"60°05'07""";"24°10'38""";Degerbyntie 10, 10160 Degerby
3;110;Janakkala, Tarinmaa;110_janakkala_01.jpg;Juhani Vormula;110_janakkala_02.jpg;Juhani Vormula;110_janakkala_03.jpg;Juhani Vormula;110_janakkala_04.jpg;Juhani Vormula;ei_ole;Juhani Vormula;Kamerakerho 54 ry;Tarinmaan sankarihautausmaa;Ilmari Wirkkala;137;;18/05/1947;;Ilmari Wirkkala;60 53 36.4;24 35 41.4;Hakoistentie 345, 14240 JANAKKALA
3;111;Janakkala, Tervakoski;111_janakkala_tervakoski_01.jpg;Juhani Vormula;111_janakkala_tervakoski_02.jpg;Juhani Vormula;111_janakkala_tervakoski_03.jpg;Juhani Vormula;111_janakkala_tervakoski_04.jpg;Juhani Vormula;ei_ole;Juhani Vormula;Kamerakerho 54 ry;Tervakosken sankarihautausmaa;Hannes Autere;45;03/03/1940;18/05/1940;;Mauno Oittinen;60 48 53.1;24 37 31.2;Kirkkotie 1, 12400 TERVAKOSKI
3;117;Jokioinen;117_jokioinen_01.jpg;Pekka Leppälä;117_jokioinen_02.jpg;Pekka Leppälä;117_jokioinen_03.jpg;Pekka Leppälä;117_jokioinen_04.jpg;Pekka Leppälä;ei_ole;;Someron kamerakerho ry;Jokioisten sankarihautausmaa;Esko Toiviainen;218;ei_ole;ei_ole;Elämä jatkuu;Armas Tirronen;60.48.44 ;23.27.53;Kirkkokuja 143, 31600 Jokioinen
10;119;Joroinen, Kirkkomaa;119_joroinen_kirkkomaa_01.jpg;Tapio Saarenheimo;119_joroinen_kirkkomaa_02.jpg;Tapio Saarenheimo;119_joroinen_kirkkomaa_03.jpg;Tapio Saarenheimo;119_joroinen_kirkkomaa_04.jpg;Tapio Saarenheimo;119_joroinen_kirkkomaa_05.jpg;Tapio Saarenheimo;Joroisten Kameraseura ry;Kirkkopuisto;ei_ole;208;1939;1962;Isänmaan puolesta 1939-1940;Armas Tirronen;62.18.06;27.82.40;Pieksämäentie 1, 79600 Joroinen
10;121;Joroinen, Lahnalahti;121_joroinen_lahnalahti_01.jpg;Tapio Saarenheimo;121_joroinen_lahnalahti_02.jpg;Tapio Saarenheimo;121_joroinen_lahnalahti_03.jpg;Tapio Saarenheimo;121_joroinen_lahnalahti_04.jpg;Tapio Saarenheimo;ei_ole;;Joroisten Kameraseura ry;Lahnalahden hautausmaa;ei_ole;3;ei_ole;ei_ole;ei_ole;ei_ole;62.08.71;27.77.20;Lahnalahdentie 520, 79680 Lahnalahti
5;128;Juuka;128_juuka_01.jpg;Osmo Väänänen;128_juuka_02.jpg;Seppo Pölönen;128_juuka_03.jpg;Seppo Pölönen;128_juuka_04.jpg;Seppo Pölönen;128_juuka_05.jpg;Seppo Pölönen;Nurmeksen kameraseura;Juuan sankarihautausmaa;ei_ole;231;ei_ole;1948;ei_ole;Helsingin Hautausmaahuolto Oy;"63°14'43.5""";"29°15'25.9""";Kirkkotie 15, 83900 Juuka 
2;130;Juva;130_juva_01.jpg;Sanna Kauppinen;130_juva_02.jpg;Sanna Kauppinen;"130_juva_03.jpg
130_juva_03_Sankariristi.jpg";Sanna Kauppinen;130_juva_04.jpg;Sanna Kauppinen;130_juva_05.jpg;Sanna Kauppinen;Juvan kamerakerho;;;409;;1955;;Ilmari Wirkkala / Tapio Wirkkala;61.53.58;27.51.15;Virastotie 2 51900 Juva
20;141;Turku, Katariina;141_kaarina_01.jpg;Marko Raitala;141_kaarina_02.jpg;Maija Tuominen;141_kaarina_03.jpg;Tuula Purmonen;141_kaarina_04.jpg;Marko Raitala;ei_ole;;Kaarinan Kuvaajat ry;Katariinan hautausmaa;ei_ole;96;ei_ole;1950;""" 1939-1944 Isänmaan puolesta""";Jussi Vikainen;60.46.20,97,;22.29.30,13;Kirkkotie 46 20540 Turku
20;142;Kaarina / Piikkiö;142_kaarina_piikkio_01.jpg;Mirjo Kanervavuori;142_kaarina_piikkio_02.jpg;Mirjo Kanervavuori;142_kaarina_piikkio_03.jpg;Marko Raitala;142_kaarina_piikkio_04.jpg;Mirjo Kanervavuori;ei_ole;;Kaarinan Kuvaajat ry;Piikkiön hautausmaa;ei_ole;28;ei_ole;1948;Rukoileva Sotilas ;Tapio Silmunen, U. Luoma;60.42.62,51;22.51.94,46;Hadvalantie 5 21500 Piikkiö
16;148;Kalajoki / Himanka;148_kalajoki_himanka_01.jpg;Päivi Kivelä;148_kalajoki_himanka_02.jpg;Päivi Kivelä;148_kalajoki_himanka_03.jpg;Päivi Kivelä;148_kalajoki_himanka_04.jpg;Päivi Kivelä;148_kalajoki_himanka_05.jpg;Päivi Kivelä;Kannuksen kamerakerho;;;;;;;;"64° 3' 39,432""";"23° 39' 16,612""";Haahdentie 1, 68100 Himanka
16;149;Kalajoki, Rautio;149_kalajoki_rautio_01.jpg;Päivi Kivelä;149_kalajoki_rautio_02.jpg;Päivi Kivelä;149_kalajoki_rautio_03.jpg;Päivi Kivelä;149_kalajoki_rautio_04.jpg;Päivi Kivelä;149_kalajoki_rautio_05.jpg;Päivi Peltoniemi;Kannuksen kamerakerho;Raution kappeliseurakunnan sankarihautausmaa;Mona ja Lars Hedman;51;1939;1958;ei_ole;Mona ja Lars Hedman;"64° 4' 33,602""";"24° 12' 16,812""";Rautiontie 1700, 85160 Kalajoki
9;150;Kangasala;150_kangasala_01.jpg;Antti Harkko;150_kangasala_02.jpg;Antti Harkko;150_kangasala_03.jpg;Antti Harkko;150_kangasala_04.jpg;Antti Harkko;150_kangasala_05.jpg;;Kangasalan kameraseura;Kangasalan vanha hautausmaa;Bertel Stömmer;205;1939;17/08/47;He eivät turhaan kaatuneet;Richard Rautalin;61°27'46.7; 24°04'13.1;Ainontie 1, 36200 KANGASALA
9;151;Kangasala / Kuhmalahti;151_kangasala_kuhmalahti_01.jpg;Birgitta Laakso;151_kangasala_kuhmalahti_02.jpg;Birgitta Laakso;151_kangasala_kuhmalahti_03.jpg;Birgitta Laakso;151_kangasala_kuhmalahti_04.jpg;Birgitta Laakso;151_kangasala_kuhmalahti_05.jpg;;Kangasalan kameraseura;Kuhmalahden hautausmaa;Bertel Stömmer;62;1939;15/09/40;ei_ole;Ilmari Wirkkala;61°30'15.0;24°34'02.9;Kirkkotie 45, 36810 KANGASALA
9;152;Kangasala / Kuhmalahti, Vehkalahti;152_kangasala_kuhmalahti_vehkalahti_01.jpg;Birgitta Laakso;152_kangasala_kuhmalahti_vehkalahti_02.jpg;Birgitta Laakso;152_kangasala_kuhmalahti_vehkalahti_03.jpg;Birgitta Laakso;152_kangasala_kuhmalahti_vehkalahti_04.jpg;Birgitta Laakso;152_kangasala_kuhmalahti_vehkalahti_05.jpg;;Kangasalan kameraseura;Vehkajärven hautausmaa;ei_ole;22;1939;14/09/40;ei_ole;Ilmari Wirkkala;61°30'22.5;24°49'50.2;Kuusisentie 8, 36880 KUHMALAHTI
9;153;Kangasala / Sahalahti;153_kangasala_sahalahti_01.jpg;Birgitta Laakso;153_kangasala_sahalahti_02.jpg;Birgitta Laakso;153_kangasala_sahalahti_03.jpg;Birgitta Laakso;153_kangasala_sahalahti_04.jpg;Birgitta Laakso;153_kangasala_sahalahti_05.jpg;;Kangasalan kameraseura;Sahalahden hautausmaa;Bertel Stömmer;60;1939;19/06/49;ei_ole;Erkki Toukolehto;61°28'26.1;24°19'45.0;Vanha Pakkalantie 35, 36420 KANGASALA
3;159;Karkkila;159_karkkila_01.jpg;Henna Mitrunen;159_karkkila_02.jpg;Matti Nieminen;159_karkkila_03.jpg;Matti Nieminen;159_karkkila_04.jpg;Henna Mitrunen;159_karkkila_05.jpg;Matti Nieminen;Karkkilan kameraseura ry;Karkkilan vanha hautausmaa;ei_ole  (toimikunta);104;ei_ole;1948;Isänmaan puolesta;Gunnar Finne;60.32.03;24.12.39;Huhdintie 6,  03600 Karkkila
6;171;Keitele;171_keitele_01.jpg;Mikko Jauhiainen;171_keitele_02.jpg;Mikko Jauhiainen;171_keitele_03.jpg;Mikko Jauhiainen;ei_ole;;ei_ole;;Keiteleen kameraseura;Keiteleen hautausmaa;;187;1939;1966;Sotilaan perhe;Ilmari Virkkala;63 10`30,30;26 20`43,4;Kirkkotie 1, 72600 Keitele
32;175;Kemijärvi;175_kemijarvi_01.jpg;Heikki Arola;175_kemijarvi_02.jpg;Heikki Arola;175_kemijarvi_03.jpg;Heikki Arola;175_kemijarvi_04.jpg;Heikki Arola;ei_ole;;Loviisan kameraseura ry;Kirkkopuiston Sankarihautausmaa;Kemijärven Seurakunta;328;1951;1956;Lähtö;Kalervo Kallio;66.42.55; 27.26.22;Kirkkokatu 13, 98100 Kemijärvi
20;177;Kemiönsaari / Dragsfjärd;177_kemionsaari_dragsfjard_01.jpg;;177_kemionsaari_dragsfjard_02.jpg;;177_kemionsaari_dragsfjard_03.jpg;;177_kemionsaari_dragsfjard_04.jpg;;ei_ole;;Aboca;Dragsfjärdin hautausmaa;Erik Bryggman;70;ei_ole;1955;Fallna för Fosterlandet 1939 - 1944;ei_ole;60.072999;22.472563;Kappelimäentie 5, 25870 Dragsfjärd
20;178;Kemiönsaari / Dragsfjärd, Hiittinen;178_kemionsaari_dragsfjard_hiittinen_01.jpg;;178_kemionsaari_dragsfjard_hiittinen_02.jpg;;178_kemionsaari_dragsfjard_hiittinen_03.jpg;;178_kemionsaari_dragsfjard_hiittinen_04.jpg;;ei_ole;;Aboca;Hiittisten hautausmaa;ei_ole;17;1939;ei_ole;ei_ole;ei_ole;59.891527;22.52237;Hiittistentie 2, 25940 Hiittinen
20;179;Kemiönsaari / Kemiö;179_kemionsaari_kemio_01.jpg;;179_kemionsaari_kemio_02.jpg;;179_kemionsaari_kemio_03.jpg;;179_kemionsaari_kemio_04.jpg;;ei_ole;;Aboca;Kemiön hautausmaa;Erik Bryggman;103;1939;1954;Pro Patria;ei_ole;60.168857;22.745263;Suomenkulmantie 13, 25700 Kemiö
20;180;Kemiönsaari / Västanfjärd;180_kemionsaari_vastanfjard_01.jpg;;180_kemionsaari_vastanfjard_02.jpg;;180_kemionsaari_vastanfjard_03.jpg;;180_kemionsaari_vastanfjard_04.jpg;;ei_ole;;Aboca;Västanfjärdin vanha hautausmaa;Ilmari Wirkkala;ei_ole;1940;ei_ole;ei_ole;ei_ole;60.04792;22.660182;Kirkkokaari 12, 25830 Västanfjärd
3;190;Kirkkonummi, vanha hautausmaa;190_kirkkonummi_vanha_hautausmaa_01.jpg;Markku Ylilammi;190_kirkkonummi_vanha_hautausmaa_02.jpg;Markku Ylilammi;190_kirkkonummi_vanha_hautausmaa_03.jpg;Markku Ylilammi;190_kirkkonummi_vanha_hautausmaa_04.jpg;Markku Ylilammi;ei_ole;Markku Ylilammi;Soukan kamerat;Kirkkonummen vanha hautausmaa;Olof Hansson;126;1956;1959;ei_ole;Lennart Segerståle ja  Olof Hansson.;60.7.30;24.26.20;Tallinmäki 1  02400 Kirkkonummi
6;196;Kiuruvesi;196_kiuruvesi_01.jpg;Mikko Niskanen;196_kiuruvesi_02.jpg;Mikko Niskanen;196_kiuruvesi_03.jpg;Mikko Niskanen;196_kiuruvesi_04.jpg;Mikko Niskanen;196_kiuruvesi_05.jpg;Mikko Niskanen;Kiuruveden kameraseura;Kiuruveden sankarihautausmaa;arkkitehtitoimisto Harmia & Baeckman vuonna ;454;;1946;;;63.65.01;26.63.02;Kirkkokatu, 74700 Kiuruvesi
3;212;Koski Tl.;212_koski_tl._01.jpg;Leena Tuominen;212_koski_tl._02.jpg;Leena Tuominen;212_koski_tl._03.jpg;Leena Tuominen;ei_ole;;ei_ole;;Someron kamerakerho ry;Kosken TL. Sankarihautausmaa;Yrjö Liipola/Ilmari Virkkala;109;1939;15/08/48;Sankari patsas;Yrjö Liipola ;60.39.35;23/08/53;Kämeentie 45, 31500 koski TL.
1;223;Kouvola / Elimäki;223_kouvola_elimaki_01.jpg;Unto Mentula;223_kouvola_elimaki_02.jpg;Unto Mentula;223_kouvola_elimaki_03.jpg;Unto Mentula;223_kouvola_elimaki_04.jpg;Unto Mentula;ei_ole;ei_ole;Kouvolan kameraseura ry;Elimäen hautausmaa;Aimo Tukiainen;159;ei_ole;1952;Jäähyväiset aseveljelle;Aimo Tukiainen;60.43.18;26.26.57;Vanhamaantie 16 B, 47200 Elimäki
1;227;Kouvola / Valkeala;227_kouvola_valkeala_01.jpg;Leif Malmström;227_kouvola_valkeala_02.jpg;Leif Malmström;227_kouvola_valkeala_03.jpg;Arto Sulanen;227_kouvola_valkeala_04.jpg;Leif Malmström;227_kouvola_valkeala_05.jpg;Leif Malmström;Kouvolan kameraseura ry;Kirkkomaan sankarihautausmaa ;Tapani Lemminkäinen;255;ei_ole;1951;Sankarivainajien muistomerkki;Tapani Lemminkäinen;60.56.17;26.47.47;Kalevantie 5, 45370 Valkeala
1;228;Kouvola / Valkeala, Mäntysaari;228_kouvola_valkeala_mantysaari_01.jpg;Riitta Litmanen;228_kouvola_valkeala_mantysaari_02.jpg;Riitta Litmanen;228_kouvola_valkeala_mantysaari_03.jpg;Unto Mentula;228_kouvola_valkeala_mantysaari_04.jpg;Jyri Kaukiainen;ei_ole;ei_ole;Kouvolan kameraseura ry;Mäntysaaren hautausmaa;ei_ole;12;ei_ole;1951;Sankariristi;Tapani Lemminkäinen;61.11.27;26.45.46;Mäntysaari, 47910 Hillosensalmi
1;229;Kouvola / Valkeala, Tuohikotti;229_kouvola_valkeala_tuohikotti_01.jpg;Leif Malmström;229_kouvola_valkeala_tuohikotti_02.jpg;Leif Malmström;229_kouvola_valkeala_tuohikotti_03.jpg;Leif Malmström;229_kouvola_valkeala_tuohikotti_04.jpg;Arto Sulanen;ei_ole;ei_ole;Kouvolan kameraseura ry;Tuohikotin sankarihautausmaa ;ei_ole;46;ei_ole;1951;Sankariristi;ei_ole;61.05.28;27/03/20;Lepotie 3, 46110 Kouvola
