Alue;nro;nykyiset_kunnat;kuva_1_yleiskuva_sankarihautausmaasta;kuva_1_kuvaajan_nimi;kuva_2_yksittäinen_hauta_risteineen_muistolaattoineen;kuva_2_kuvaajan_nimi;kuva_3_muistomerkki;kuva_3_kuvaajan_nimi;kuva_4_yleiskuva;kuva_4_kuvaajan_nimi;kuva_5_muu_muistomerkki;kuva_5_kuvaajan_nimi;kuvaukset_toteuttanut_kameraseura;hautausmaan_nimi;arkkitehti;hautoja;perustettu;paljastettu;nimi;kuvanveistäjä;pituus_n;leveys_e;tarkka_katuosoite
24;639;Vaala, Säräisniemi;639_vaala_saraisniemi_01.jpg;Ismo Prauda;639_vaala_saraisniemi_02.jpg;Ismo Prauda;639_vaala_saraisniemi_03.jpg;Ismo Prauda;639_vaala_saraisniemi_04.jpg;Ismo Prauda;ei_ole;;Kajaanin kamerakerho;Valkeakoski, Valkeakosken hautausmaa;ei_ole;118;ei_ole;Tilattu 1953;ei_ole;Peipohjan kiviveistämö;64.26.41.4;26.47.19.1;Ylikyläntie 15 91760 Vaala
9;644;Valkeakoski;644_valkeakoski_01.jpg;Jorma Kytölä;644_valkeakoski_02.jpg;Jorma Kytölä;644_valkeakoski_03.jpg;Jorma Kytölä;644_valkeakoski_04.jpg;Jorma Kytölä;;;Kameraseura 74 Valkeakoski ;Valkeakoski, Metsäkansan hautausmaa;;118;;10/23/1955;Sankaripatsas;Aili ja Niilo Pulkka;61.26.14;24.03,59;Kangaskatu 4, 37600 Valkeakoski
9;645;Valkeakoski, Metsäkansa;645_valkeakoski_metsakansa_01.jpg;Jorma Kytölä;645_valkeakoski_metsakansa_02.jpg;Jorma Kytölä;645_valkeakoski_metsakansa_03.jpg;Jorma Kytölä;645_valkeakoski_metsakansa_04.jpg;Jorma Kytölä;645_valkeakoski_metsakansa_05.jpg;Jorma Kytölä;Kameraseura 74 Valkeakoski ;Valkeakoski, Sääksmäen hautausmaa;;12;;1956;Hyvästijättö;Jaakko Veuro, Matti Aaltonen;61.23.65;23,87,60;Metsäkansantie 45, 37850 Metsäkansa
9;646;Valkeakoski, Sääksmäki;646_valkeakoski_saaksmaki_01.jpg;Jorma Kytölä;646_valkeakoski_saaksmaki_02.jpg;Jorma Kytölä;646_valkeakoski_saaksmaki_03.jpg;Jorma Kytölä;646_valkeakoski_saaksmaki_04.jpg;Jorma Kytölä;646_valkeakoski_saaksmaki_05.jpg;Jorma Kytölä;Kameraseura 74 Valkeakoski ;Valtimon sankarihautausmaa;;78;;1951;ei_ole;Aukusti Veuro;;;Kirkkovainiontie 10, 37700 Sääksmäki
5;647;Valtimo;647_valtimo_01.jpg;Seppo Pölönen;647_valtimo_02.jpg;Hannu Iivonen;647_valtimo_03.jpg;Seppo Pölönen;647_valtimo_04.jpg;Seppo Pölönen;ei_ole;ei_ole;Nurmeksen kameraseura;Kangaslammin hautausmaa;Emil Filèn;93;1943;11/5/1946;ei_ole;Emil Filèn;"63°40'44.1""";"28°49'05.9""";Kunnantie 6, 75700 Valtimo
10;650;Varkaus / Kangaslampi;650_varkaus_kangaslampi_01.jpg;Pekka Varneslahti;650_varkaus_kangaslampi_02.jpg;Pekka Varneslahti;650_varkaus_kangaslampi_03.jpg;Pekka Varneslahti;650_varkaus_kangaslampi_04.jpg;Pekka Varneslahti;ei_ole;;Varkauden Kameraseura ry;Varkauden sankarihautausmaa, Pirtinniemi;ei_ole;78;1939;1966;Polvistuva sotilas;Heikki Konttinen;62.17.766;28.15.066;Asematie 1, 79480 Kangaslahti
10;653;Varkaus, Pirttiniemi;653_varkaus_pirttiniemi_01.jpg;Pekka Varneslahti;653_varkaus_pirttiniemi_02.jpg;Pekka Varneslahti;653_varkaus_pirttiniemi_03.jpg;Pekka Varneslahti;653_varkaus_pirttiniemi_04.jpg;Pekka Varneslahti;ei_ole;;Varkauden Kameraseura ry;Vieremän sankarivainajien hautausmaa;ei_ole;248;1939;1964;Ylös murheesta;Heikki Nieminen;62.18.83;27.52.83;Relanderinkatu 2, 78200 Varkaus
6;658;Vieremä;658_vierema_01.jpg;Ville Heikkinen;658_vierema_02.jpg;Ville Heikkinen;658_vierema_03.jpg;Ville Heikkinen;658_vierema_04.jpg;Ville Heikkinen;ei_ole;;Iisalmen Kameraseura ry;Vihdin kirkkopihan sankarihautausmaa;ei_ole;220;1939;1951;Kotikuusi;Lauri Laukkanen;63.44.19;27.00.48;Kirkkotie 1, 74200 Vieremä
3;659;Vihti;659_vihti_01.jpg;Tapio Karjalainen;659_vihti_02.jpg;Tapio Karjalainen;659_vihti_03.jpg;Tapio Karjalainen;659_vihti_04.jpg;Paavo Hacklin;659_vihti_05.jpg;Tapio Karjalainen;Vihdin kameraseura ry;Ypäjän sankarihautausmaa;Rafael Blomstedt, Maunu Siitonen;226;1939;1951;Hyvästijättö;Heikki Varja;"60°25'07""";" 24°19'06""";Kirkkotie, 03400 Vihti
3;681;Ypäjä;681_ypaja_01.jpg;Armo Kuisma;681_ypaja_02.jpg;Armo Kuisma;681_ypaja_03.jpg;Armo Kuisma;681_ypaja_04.jpg;Armo Kuisma;ei_ole;;Someron kamerakerho ry;Viekijärven talvisodan sankarihautausmaa;ei_ole;168;14/01/40;13/06/48;Sotilas ja enkeli;Verner Friström;60.48.13;23.16.45;Perttulantie 6, 32100 Ypäjä 
5;751;Lieksa, Viekijärvi, vanha hautausmaa;751_lieksa_viekijarvi_vanha_hautausmaa_01.jpg;Seppo Pölönen;751_lieksa_viekijarvi_vanha_hautausmaa_02.jpg;Seppo Pölönen;751_lieksa_viekijarvi_vanha_hautausmaa_03.jpg;Osmo Väänänen;751_lieksa_viekijarvi_vanha_hautausmaa_04.jpg;Seppo Pölönen;ei_ole;ei_ole;Nurmeksen kameraseura;Sipoon Vanhan kirkon hautausmaa / Gravgården vid Sibbo Gamla kyrka;Ilmari Wirkkala;14;ei_ole;11/2/1952;ei_ole;Ilmari Wirkkala;"63°29'04.5""";"29°37'13.3""";Kannelkoskentie 10, 81860 Viekijärvi
