uri,original_narc_name
http://ldf.fi/warsa/places/cemeteries/h0166_1 ,Punkalaidun 
http://ldf.fi/warsa/places/cemeteries/h0167_1 ,Pyhäranta 
http://ldf.fi/warsa/places/cemeteries/h0168_1 ,Pöytyä 
http://ldf.fi/warsa/places/cemeteries/h0169_1 ,Raisio 
http://ldf.fi/warsa/places/cemeteries/h0170_1 ,"Rauma, vanha hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0172_1 ,Rusko 
http://ldf.fi/warsa/places/cemeteries/h0173_1 ,Rymättylä 
http://ldf.fi/warsa/places/cemeteries/h0174_1 ,"Salo, Uskelan kirkkohautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0175_1 ,Sauvo 
http://ldf.fi/warsa/places/cemeteries/h0175_2 ,"Sauvo, Karuna "
http://ldf.fi/warsa/places/cemeteries/h0176_1 ,Siikainen 
http://ldf.fi/warsa/places/cemeteries/h0177_1 ,Suodenniemi 
http://ldf.fi/warsa/places/cemeteries/h0178_1 ,Suomusjärvi 
http://ldf.fi/warsa/places/cemeteries/h0179_1 ,Säkylä 
http://ldf.fi/warsa/places/cemeteries/h0179_2 ,"Säkylä, uusi hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0180_1 ,"Särkisalo, Särkisalo "
http://ldf.fi/warsa/places/cemeteries/h0181_1 ,Taivassalo 
http://ldf.fi/warsa/places/cemeteries/h0182_1 ,"Tarvasjoki, vanha hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0183_1 ,Turku 
http://ldf.fi/warsa/places/cemeteries/h0183_2 ,"Turku, Kaarina "
http://ldf.fi/warsa/places/cemeteries/h0183_3 ,"Turku, Kakskerta "
http://ldf.fi/warsa/places/cemeteries/h0183_4 ,"Turku, Kuusisto "
http://ldf.fi/warsa/places/cemeteries/h0183_5 ,"Turku, Maaria "
http://ldf.fi/warsa/places/cemeteries/h0183_6 ,"Turku, Paattinen "
http://ldf.fi/warsa/places/cemeteries/h0183_7 ,"Turku, Uusi hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0183_8 ,"Turku, Vanha hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0184_1 ,Ulvila 
http://ldf.fi/warsa/places/cemeteries/h0185_1 ,Uusikaupunki 
http://ldf.fi/warsa/places/cemeteries/h0185_2 ,"Uusikaupunki, Lokalahti "
http://ldf.fi/warsa/places/cemeteries/h0185_3 ,"Uusikaupunki, Pyhämaa "
http://ldf.fi/warsa/places/cemeteries/h0185_4 ,"Uusikaupunki, hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0186_1 ,Vahto 
http://ldf.fi/warsa/places/cemeteries/h0187_1 ,"Vammala, Karkku "
http://ldf.fi/warsa/places/cemeteries/h0187_2 ,"Vammala, Salokunta "
http://ldf.fi/warsa/places/cemeteries/h0187_3 ,"Vammala, Tyrvää "
http://ldf.fi/warsa/places/cemeteries/h0187_4 ,"Vammala, Sammaljoki "
http://ldf.fi/warsa/places/cemeteries/h0188_1 ,Vampula 
http://ldf.fi/warsa/places/cemeteries/h0189_1 ,Vehmaa 
http://ldf.fi/warsa/places/cemeteries/h0190_1 ,Velkua 
http://ldf.fi/warsa/places/cemeteries/h0191_1 ,Viljakkala 
http://ldf.fi/warsa/places/cemeteries/h0192_1 ,Västanfjärd 
http://ldf.fi/warsa/places/cemeteries/h0193_1 ,Yläne 
http://ldf.fi/warsa/places/cemeteries/h0194_1 ,"Äetsä, Keikyä "
http://ldf.fi/warsa/places/cemeteries/h0194_2 ,"Äetsä, Kiikka "
http://ldf.fi/warsa/places/cemeteries/h0201_1 ,Asikkala 
http://ldf.fi/warsa/places/cemeteries/h0202_1 ,Forssa 
http://ldf.fi/warsa/places/cemeteries/h0202_2 ,"Forssa, Koijärvi "
http://ldf.fi/warsa/places/cemeteries/h0203_1 ,"Hattula, uuden kirkon hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0203_2 ,"Hattula, Leteensuo "
http://ldf.fi/warsa/places/cemeteries/h0203_3 ,"Hattula, Tyrväntö "
http://ldf.fi/warsa/places/cemeteries/h0203_4 ,"Hattula, vanhan kirkon hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0204_1 ,Hauho 
http://ldf.fi/warsa/places/cemeteries/h0205_1 ,Hausjärvi 
http://ldf.fi/warsa/places/cemeteries/h0206_1 ,Hollola 
http://ldf.fi/warsa/places/cemeteries/h0207_1 ,Humppila 
http://ldf.fi/warsa/places/cemeteries/h0208_1 ,"Hämeenlinna, Ahvenisto "
http://ldf.fi/warsa/places/cemeteries/h0208_2 ,"Hämeenlinna, Vanaja "
http://ldf.fi/warsa/places/cemeteries/h0209_1 ,Janakkala 
http://ldf.fi/warsa/places/cemeteries/h0209_2 ,"Janakkala, Tervakoski "
http://ldf.fi/warsa/places/cemeteries/h0210_1 ,Jokioinen 
http://ldf.fi/warsa/places/cemeteries/h0211_1 ,Juupajoki 
http://ldf.fi/warsa/places/cemeteries/h0212_1 ,Kalvola 
http://ldf.fi/warsa/places/cemeteries/h0213_1 ,Kangasala 
http://ldf.fi/warsa/places/cemeteries/h0214_1 ,Koski Hl. 
http://ldf.fi/warsa/places/cemeteries/h0215_1 ,Kuhmalahti 
http://ldf.fi/warsa/places/cemeteries/h0215_2 ,"Kuhmalahti, Vehkalahti "
http://ldf.fi/warsa/places/cemeteries/h0216_1 ,Kuorevesi 
http://ldf.fi/warsa/places/cemeteries/h0217_1 ,Kuru 
http://ldf.fi/warsa/places/cemeteries/h0217_2 ,"Kuru, Aurejärvi "
http://ldf.fi/warsa/places/cemeteries/h0217_3 ,"Kuru, Länsi-Teisko "
http://ldf.fi/warsa/places/cemeteries/h0217_4 ,"Kuru, Tammikangas "
http://ldf.fi/warsa/places/cemeteries/h0218_1 ,Kylmäkoski 
http://ldf.fi/warsa/places/cemeteries/h0219_1 ,Kärkölä 
http://ldf.fi/warsa/places/cemeteries/h0220_1 ,Lahti 
http://ldf.fi/warsa/places/cemeteries/h0220_2 ,"Lahti, Levo "
http://ldf.fi/warsa/places/cemeteries/h0220_3 ,"Lahti, läntinen hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0220_4 ,"Lahti, Mustankallio "
http://ldf.fi/warsa/places/cemeteries/h0220_5 ,"Lahti, vanha hautausmaa "
